cc_upcoming,pp,fb,sd,bid,ibz,cd,dsny,hc,cc,nycongress,sa,ss,nta,zipcode,hd
41,71;77;67;73;81,38;58;44;37,17;18;23;16,Pitkin Avenue?BID,,309;308;317;316;303,BKN09;BKN08;BKN17;BKN16;BKN03,35;33;32;34,35;36;42;41,9;8,43;58;55;56,20;25;19,Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;East Flatbush-Farragut;Rugby-Remsen Village;Brownsville;Ocean Hill;Stuyvesant Heights,11236;11203;11213;11212;11233;11221,
42,100;69;106;75;63;67;73,47;39;51;58;44,19;18;23,East Brooklyn?BID,Flatlands/Fairfield;East New York,305;318;356;317;316,BKS18;BKN17;BKN05;BKN16,35;33,45;42;46;37,9;8;7,58;59;60;54;55,25;19;21;15,Canarsie;Starrett City;park-cemetery-etc-Brooklyn;Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Brownsville,11693;11239;11414;11208;11236;11203;11207;11212,
43,60;62;68;66;72;61,42;43;40,20;21;15,,,313;311;310;315;312;307,BKS13;BKS10;BKS15;BKS11;BKS12;BKS07,31;37;39,47;43;44;38,11;9;10;8,47;49;45;48;51,17;22;26,Bensonhurst East;Bath Beach;Dyker Heights;Gravesend;Bensonhurst West;Borough Park;Sunset Park East,11214;11219;11220;11223;11204,
44,62;70;66;61,42;43;48;40;33,20;21;15;22,Kings Highway?BID,,311;315;314;312,BKS15;BKS14;BKS11;BKS12,31;37;39;35,47;44;48;45;39,9;10;8,47;49;45;48;44;41,17;22;21,Bensonhurst East;Homecrest;Ocean Parkway South;Midwood;Gravesend;Borough Park,11219;11223;11218;11210;11230;11204,
45,70;66;69;63;67,41;58;33,21;17;18;22,Flatbush-Nostrand Junction?BID,Flatlands/Fairfield,314;312;318;317,BKS14;BKS12;BKS18;BKN17,35;33,48;45;40;46;41,9;8,48;42;44;58;59;41,22;19;21,Midwood;Flatbush;Erasmus;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village,11210;11230;11226;11234;11236;11229;11203,Fiske Terrace-Midwood Park Historic District;East 25th Street Historic District
46,69;63;61,43;58;33,18;22,,,315;318;356,BKS15;BKS18,37;35;33,48;45;42;46,9;8,58;59;41;60,23;22;19;21,Madison;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;Flatlands;park-cemetery-etc-Brooklyn,11234;11236;11235;11229,
47,60;62;68;72;61,42;43;40,20;21,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID,,313;311;310;315;307,BKS13;BKS10;BKS15;BKS11;BKS07,31;37;39,47;43;38,11;10;8,64;47;46;49;45;51,23;17;22;26,Seagate-Coney Island;Bensonhurst East;Bath Beach;Dyker Heights;Bay Ridge;West Brighton;Gravesend;Bensonhurst West;Sunset Park West,11224;11214;11228;11209;11220;11223,Bay Ridge Parkway - Doctors' Row Historic District
48,60;70;61,43;33,21;22,Brighton Beach?BID;Kings Highway?BID,,313;315;314,BKS13;BKS15;BKS14,37;35,47;48;46,9;8,46;45;41,23;22,Seagate-Coney Island;Brighton Beach;Homecrest;Midwood;West Brighton;Madison;Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11224;11223;11210;11230;11235;11229,
49,122;121;120,21;22,31,Forest Avenue?BID,Staten Island West Shore;Staten Island North Shore,595;502;501,SI02;SI01,51,50;49,11,64;63;61,24;23,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis;Grasmere-Arrochar-Ft. Wadsworth;Westerleigh;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George,10305;10314;10304;10301;10302;10303;10310,St. Paul's Avenue-Stapleton Heights Historic District;St. George / New Brighton Historic District
50,123;122;62;121;68;120,23;21;22;42,31;20,New Dorp BID;West Shore BID,Staten Island West Shore,503;595;502;311;310;501,SI03;SI02;BKS10;SI01;BKS11,51;31,51;50;43;49,11,62;64;47;63;46;61,24;23;17;26,Great Kills;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;New Springville-Bloomfield-Travis;Grasmere-Arrochar-Ft. Wadsworth;Bath Beach;Westerleigh;Dyker Heights;Bay Ridge;Port Richmond;park-cemetery-etc-Brooklyn;park-cemetery-etc-Queens,10306;10305;10314;10304;11214;11228;11209;10301;10302;10303;10310,New York City Farm Colony- Seaview Hospital Historic District
51,123;122;121,23;22,31,South Shore BID,Rossville,503;595;502,SI03;SI02,51,51;50,11,62;64;63,24,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;park-cemetery-etc-Staten Island;Great Kills;Arden Heights;Oakwood-Oakwood Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis,10307;10309;10312;10308;10306;10314,
